source,target,weight
IL1B,AKT1,0.0016544473164511668
IL1B,MAPK1,0.0019176197259261317
IL1B,AGT,0.0028404774851908845
IL1B,IFNG,0.0028793394781689
IL1B,IL6,0.003361284307465505
IL1B,INS,0.0027881007204535076
IL1B,NFKB1,0.0030997669750413444
IL1B,TGFB1,0.0018427482489889544
IL1B,TNF,0.0033108875086445195
TGFB1,AKT1,0.0019130974047025036
TGFB1,MAPK1,0.0020937998426255435
TGFB1,AGT,0.0035586361244663196
TGFB1,IFNG,0.0021111297285559103
TGFB1,IL6,0.0020679303877060478
TGFB1,INS,0.0020672369895759005
TGFB1,NFKB1,0.0017778736427715737
TGFB1,TNF,0.002149265210087205
AGT,AKT1,0.002594039574660094
AGT,MAPK1,0.003364097529709583
AGT,IFNG,0.0015615327615708461
AGT,IL6,0.002931149327250954
AGT,INS,0.0036605088371251568
AGT,NFKB1,0.002706852884631871
AGT,TNF,0.0030101123208814188
INS,AKT1,0.0035241692931691944
INS,MAPK1,0.0028880014105497824
INS,IFNG,0.0020642212014449703
INS,IL6,0.003050092645609605
INS,NFKB1,0.0020212824366380045
INS,TNF,0.0032972435366650627
IL6,AKT1,0.0017647793430669273
IL6,MAPK1,0.0019653932342009774
IL6,IFNG,0.002790966127433813
IL6,NFKB1,0.0027486630761666847
IL6,TNF,0.0034250105601705723
MAPK1,AKT1,0.0018356072567906176
MAPK1,IFNG,0.0014565222800530175
MAPK1,NFKB1,0.0016230901678057222
MAPK1,TNF,0.0021575988773218234
TNF,AKT1,0.0019812149350105497
TNF,IFNG,0.003339878408547717
TNF,NFKB1,0.003484604404075677
NFKB1,AKT1,0.0019821859535928865
NFKB1,IFNG,0.0021803341294893393
AKT1,IFNG,0.0012328787299517093
